Chain,Prefecture,Area,Stores,Population,Population_U15,Population_15to64,Population_O65,Consumption_Expenses,Food_Expenses
Saizeriya,Hokkaido,Hokkaido_Tohoku,11,5183,555804,2945727,1664023,301683,77680
Saizeriya,Aomori,Hokkaido_Tohoku,,1221,129112,676167,412943,251881,75325
Saizeriya,Iwate,Hokkaido_Tohoku,,1196,132447,658816,404359,270902,74023
Saizeriya,Miyagi,Hokkaido_Tohoku,21,2290,268428,1346845,638984,264817,76291
Saizeriya,Akita,Hokkaido_Tohoku,,945,92673,500687,357568,264922,72763
Saizeriya,Yamagata,Hokkaido_Tohoku,6,1055,120086,578819,359554,293536,77254
Saizeriya,Fukushima,Hokkaido_Tohoku,12,1812,206152,1020241,572825,268003,72590
Saizeriya,Ibaraki,Kanto,30,2852,333741,1638165,839907,274520,71373
Saizeriya,Tochigi,Kanto,16,1921,227553,1115611,554381,279214,75567
Saizeriya,Gumma,Kanto,9,1927,224304,1096231,576729,289142,77211
Saizeriya,Saitama,Kanto,91,7340,858384,4335188,1934994,326313,84240
Saizeriya,Chiba,Kanto,113,6275,734496,3715691,1699991,303193,82761
Saizeriya,Tokyo,Kanto,211,14010,1566840,8944193,3107822,325010,92079
Saizeriya,Kanagawa,Kanto,116,9236,1085763,5628918,2308578,295913,84137
Saizeriya,Niigata,Tyubu,13,2177,247480,1210917,715935,273946,75581
Saizeriya,Toyama,Tyubu,4,1025,115177,568052,333008,302233,80185
Saizeriya,Ishikawa,Tyubu,11,1125,137096,641383,333660,299375,79070
Saizeriya,Fukui,Tyubu,3,760,95544,427984,232684,253715,75628
Saizeriya,Yamanashi,Tyubu,7,805,91629,453633,245884,290406,76623
Saizeriya,Nagano,Tyubu,13,2033,242873,1118429,646942,270419,72276
Saizeriya,Gifu,Tyubu,12,1961,240520,1105215,593751,304271,76629
Saizeriya,Shizuoka,Tyubu,26,3608,438723,2071258,1084282,281343,79406
Saizeriya,Aichi,Tyubu,74,7517,973642,4502713,1864603,282283,78351
Saizeriya,Mie,Kansai,19,1756,211090,997052,522073,285114,73364
Saizeriya,Shiga,Kansai,9,1411,191369,824781,365311,304172,81180
Saizeriya,Kyoto,Kansai,20,2561,293465,1467216,734493,253880,79072
Saizeriya,Osaka,Kansai,89,8806,1029499,5199504,2361723,246247,76729
Saizeriya,Hyogo,Kansai,46,5432,660205,3075863,1546543,268760,78235
Saizeriya,Nara,Kansai,9,1315,154271,737675,414576,299627,81275
Saizeriya,Wakayama,Kansai,3,914,105360,503704,305500,245467,65955
Saizeriya,Tottori,Tyugoku,,549,68330,300002,177046,296669,76348
Saizeriya,Shimane,Tyugoku,,665,81641,352656,227881,294519,73347
Saizeriya,Okayama,Tyugoku,4,1876,229352,1032394,557991,262385,72021
Saizeriya,Hiroshima,Tyugoku,10,2780,352678,1580054,811931,287257,78956
Saizeriya,Yamaguchi,Tyugoku,1,1328,153608,709992,459957,286130,71864
Saizeriya,Tokushima,Shikoku,,712,77129,375657,238346,295661,76260
Saizeriya,Kagawa,Shikoku,,942,113757,518056,296533,275267,72102
Saizeriya,Ehime,Shikoku,,1321,153764,711738,434279,240210,67671
Saizeriya,Kochi,Shikoku,,684,74946,362200,241787,270206,73830
Saizeriya,Fukuoka,Kyusyu_Okinawa,23,5124,662179,2911353,1395142,317047,75372
Saizeriya,Saga,Kyusyu_Okinawa,,806,108241,443579,246061,288604,73552
Saizeriya,Nagasaki,Kyusyu_Okinawa,,1297,164303,706077,430353,253814,67610
Saizeriya,Kumamoto,Kyusyu_Okinawa,,1728,228366,944198,540538,291734,71821
Saizeriya,Oita,Kyusyu_Okinawa,,1114,135272,596527,369192,271369,71027
Saizeriya,Miyazaki,Kyusyu_Okinawa,,1061,139773,568255,344543,261710,71144
Saizeriya,Kagoshima,Kyusyu_Okinawa,,1576,205381,832194,505891,266228,70501
Saizeriya,Okinawa,Kyusyu_Okinawa,,1468,243246,871154,324708,216202,66197
Komeda,Hokkaido,Hokkaido_Tohoku,19,5183,555804,2945727,1664023,301683,77680
Komeda,Aomori,Hokkaido_Tohoku,2,1221,129112,676167,412943,251881,75325
Komeda,Iwate,Hokkaido_Tohoku,5,1196,132447,658816,404359,270902,74023
Komeda,Miyagi,Hokkaido_Tohoku,10,2290,268428,1346845,638984,264817,76291
Komeda,Akita,Hokkaido_Tohoku,3,945,92673,500687,357568,264922,72763
Komeda,Yamagata,Hokkaido_Tohoku,6,1055,120086,578819,359554,293536,77254
Komeda,Fukushima,Hokkaido_Tohoku,6,1812,206152,1020241,572825,268003,72590
Komeda,Ibaraki,Kanto,12,2852,333741,1638165,839907,274520,71373
Komeda,Tochigi,Kanto,12,1921,227553,1115611,554381,279214,75567
Komeda,Gumma,Kanto,9,1927,224304,1096231,576729,289142,77211
Komeda,Saitama,Kanto,36,7340,858384,4335188,1934994,326313,84240
Komeda,Chiba,Kanto,30,6275,734496,3715691,1699991,303193,82761
Komeda,Tokyo,Kanto,84,14010,1566840,8944193,3107822,325010,92079
Komeda,Kanagawa,Kanto,42,9236,1085763,5628918,2308578,295913,84137
Komeda,Niigata,Tyubu,9,2177,247480,1210917,715935,273946,75581
Komeda,Toyama,Tyubu,5,1025,115177,568052,333008,302233,80185
Komeda,Ishikawa,Tyubu,8,1125,137096,641383,333660,299375,79070
Komeda,Fukui,Tyubu,7,760,95544,427984,232684,253715,75628
Komeda,Yamanashi,Tyubu,4,805,91629,453633,245884,290406,76623
Komeda,Nagano,Tyubu,10,2033,242873,1118429,646942,270419,72276
Komeda,Gifu,Tyubu,29,1961,240520,1105215,593751,304271,76629
Komeda,Shizuoka,Tyubu,32,3608,438723,2071258,1084282,281343,79406
Komeda,Aichi,Tyubu,212,7517,973642,4502713,1864603,282283,78351
Komeda,Mie,Kansai,28,1756,211090,997052,522073,285114,73364
Komeda,Shiga,Kansai,16,1411,191369,824781,365311,304172,81180
Komeda,Kyoto,Kansai,19,2561,293465,1467216,734493,253880,79072
Komeda,Osaka,Kansai,67,8806,1029499,5199504,2361723,246247,76729
Komeda,Hyogo,Kansai,42,5432,660205,3075863,1546543,268760,78235
Komeda,Nara,Kansai,12,1315,154271,737675,414576,299627,81275
Komeda,Wakayama,Kansai,9,914,105360,503704,305500,245467,65955
Komeda,Tottori,Tyugoku,5,549,68330,300002,177046,296669,76348
Komeda,Shimane,Tyugoku,5,665,81641,352656,227881,294519,73347
Komeda,Okayama,Tyugoku,8,1876,229352,1032394,557991,262385,72021
Komeda,Hiroshima,Tyugoku,18,2780,352678,1580054,811931,287257,78956
Komeda,Yamaguchi,Tyugoku,9,1328,153608,709992,459957,286130,71864
Komeda,Tokushima,Shikoku,6,712,77129,375657,238346,295661,76260
Komeda,Kagawa,Shikoku,7,942,113757,518056,296533,275267,72102
Komeda,Ehime,Shikoku,9,1321,153764,711738,434279,240210,67671
Komeda,Kochi,Shikoku,5,684,74946,362200,241787,270206,73830
Komeda,Fukuoka,Kyusyu_Okinawa,40,5124,662179,2911353,1395142,317047,75372
Komeda,Saga,Kyusyu_Okinawa,3,806,108241,443579,246061,288604,73552
Komeda,Nagasaki,Kyusyu_Okinawa,5,1297,164303,706077,430353,253814,67610
Komeda,Kumamoto,Kyusyu_Okinawa,6,1728,228366,944198,540538,291734,71821
Komeda,Oita,Kyusyu_Okinawa,5,1114,135272,596527,369192,271369,71027
Komeda,Miyazaki,Kyusyu_Okinawa,5,1061,139773,568255,344543,261710,71144
Komeda,Kagoshima,Kyusyu_Okinawa,10,1576,205381,832194,505891,266228,70501
Komeda,Okinawa,Kyusyu_Okinawa,7,1468,243246,871154,324708,216202,66197
Gusto,Hokkaido,Hokkaido_Tohoku,23,5183,555804,2945727,1664023,301683,77680
Gusto,Aomori,Hokkaido_Tohoku,11,1221,129112,676167,412943,251881,75325
Gusto,Iwate,Hokkaido_Tohoku,9,1196,132447,658816,404359,270902,74023
Gusto,Miyagi,Hokkaido_Tohoku,15,2290,268428,1346845,638984,264817,76291
Gusto,Akita,Hokkaido_Tohoku,15,945,92673,500687,357568,264922,72763
Gusto,Yamagata,Hokkaido_Tohoku,12,1055,120086,578819,359554,293536,77254
Gusto,Fukushima,Hokkaido_Tohoku,20,1812,206152,1020241,572825,268003,72590
Gusto,Ibaraki,Kanto,33,2852,333741,1638165,839907,274520,71373
Gusto,Tochigi,Kanto,30,1921,227553,1115611,554381,279214,75567
Gusto,Gumma,Kanto,27,1927,224304,1096231,576729,289142,77211
Gusto,Saitama,Kanto,97,7340,858384,4335188,1934994,326313,84240
Gusto,Chiba,Kanto,88,6275,734496,3715691,1699991,303193,82761
Gusto,Tokyo,Kanto,182,14010,1566840,8944193,3107822,325010,92079
Gusto,Kanagawa,Kanto,130,9236,1085763,5628918,2308578,295913,84137
Gusto,Niigata,Tyubu,24,2177,247480,1210917,715935,273946,75581
Gusto,Toyama,Tyubu,16,1025,115177,568052,333008,302233,80185
Gusto,Ishikawa,Tyubu,6,1125,137096,641383,333660,299375,79070
Gusto,Fukui,Tyubu,7,760,95544,427984,232684,253715,75628
Gusto,Yamanashi,Tyubu,21,805,91629,453633,245884,290406,76623
Gusto,Nagano,Tyubu,28,2033,242873,1118429,646942,270419,72276
Gusto,Gifu,Tyubu,18,1961,240520,1105215,593751,304271,76629
Gusto,Shizuoka,Tyubu,41,3608,438723,2071258,1084282,281343,79406
Gusto,Aichi,Tyubu,91,7517,973642,4502713,1864603,282283,78351
Gusto,Mie,Kansai,18,1756,211090,997052,522073,285114,73364
Gusto,Shiga,Kansai,14,1411,191369,824781,365311,304172,81180
Gusto,Kyoto,Kansai,20,2561,293465,1467216,734493,253880,79072
Gusto,Osaka,Kansai,85,8806,1029499,5199504,2361723,246247,76729
Gusto,Hyogo,Kansai,58,5432,660205,3075863,1546543,268760,78235
Gusto,Nara,Kansai,17,1315,154271,737675,414576,299627,81275
Gusto,Wakayama,Kansai,8,914,105360,503704,305500,245467,65955
Gusto,Tottori,Tyugoku,6,549,68330,300002,177046,296669,76348
Gusto,Shimane,Tyugoku,8,665,81641,352656,227881,294519,73347
Gusto,Okayama,Tyugoku,17,1876,229352,1032394,557991,262385,72021
Gusto,Hiroshima,Tyugoku,28,2780,352678,1580054,811931,287257,78956
Gusto,Yamaguchi,Tyugoku,14,1328,153608,709992,459957,286130,71864
Gusto,Tokushima,Shikoku,8,712,77129,375657,238346,295661,76260
Gusto,Kagawa,Shikoku,15,942,113757,518056,296533,275267,72102
Gusto,Ehime,Shikoku,12,1321,153764,711738,434279,240210,67671
Gusto,Kochi,Shikoku,4,684,74946,362200,241787,270206,73830
Gusto,Fukuoka,Kyusyu_Okinawa,37,5124,662179,2911353,1395142,317047,75372
Gusto,Saga,Kyusyu_Okinawa,8,806,108241,443579,246061,288604,73552
Gusto,Nagasaki,Kyusyu_Okinawa,12,1297,164303,706077,430353,253814,67610
Gusto,Kumamoto,Kyusyu_Okinawa,11,1728,228366,944198,540538,291734,71821
Gusto,Oita,Kyusyu_Okinawa,9,1114,135272,596527,369192,271369,71027
Gusto,Miyazaki,Kyusyu_Okinawa,6,1061,139773,568255,344543,261710,71144
Gusto,Kagoshima,Kyusyu_Okinawa,11,1576,205381,832194,505891,266228,70501
Gusto,Okinawa,Kyusyu_Okinawa,11,1468,243246,871154,324708,216202,66197