Prefecture,Shop,Population
北海道,44,5183
青森県,11,1221
岩手県,8,1196
宮城県,29,2290
秋田県,8,945
山形県,8,1055
福島県,10,1812
茨城県,35,2852
栃木県,27,1921
群馬県,21,1927
埼玉県,80,7340
千葉県,76,6275
東京都,379,14010
神奈川県,119,9236
新潟県,19,2177
富山県,10,1025
石川県,12,1125
福井県,8,760
山梨県,12,805
長野県,26,2033
岐阜県,19,1961
静岡県,37,3608
愛知県,125,7517
三重県,20,1756
滋賀県,15,1411
京都府,38,2561
大阪府,124,8806
兵庫県,58,5432
奈良県,15,1315
和歌山県,9,914
鳥取県,4,549
島根県,4,665
岡山県,17,1876
広島県,29,2780
山口県,7,1328
徳島県,5,712
香川県,13,942
愛媛県,10,1321
高知県,6,684
福岡県,62,5124
佐賀県,10,806
長崎県,9,1297
熊本県,16,1728
大分県,9,1114
宮崎県,7,1061
鹿児島県,8,1576
沖縄県,24,1468